timestamp,facility,sub_area,zone_id,capacity,category,hour,day_of_week,is_weekend,is_exam_period,is_holiday,weather_condition,temperature,count_in_area,occupancy_rate
2025-08-24 20:18:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,3,6,1,0,0,cloudy,92.2,0,0.0
2025-08-24 22:18:26.285849,Southwest Rec Center,Multi-Purpose Court 6,Z-SWRC-10,30,GYMS,5,6,1,0,0,clear,98.0,0,0.94
2025-08-24 23:33:26.285849,Aquatics,Florida Pool,Z-AQ-01,50,AQUATICS,6,6,1,0,0,clear,96.2,0,21.77
2025-08-24 23:48:26.285849,Smathers Libraries,Library West,Z-SL-01,1564,LIBRARIES,6,6,1,0,0,clear,95.6,18,7.26
2025-08-25 01:18:26.285849,Aquatics,Florida Pool,Z-AQ-01,50,AQUATICS,8,0,0,0,0,clear,87.7,1,3.18
2025-08-25 01:48:26.285849,Student Recreation and Fitness Centre,SRFC Racquetball,Z-SRFC-07,20,GYMS,8,0,0,0,0,clear,89.6,0,0.0
2025-08-25 02:03:26.285849,Smathers Libraries,Health Science Center Library,Z-SL-03,761,LIBRARIES,8,0,0,0,0,rain,88.1,112,14.73
2025-08-25 03:18:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,10,0,0,0,0,clear,91.6,10,10.57
2025-08-25 03:18:26.285849,Aquatics,Florida Pool,Z-AQ-01,50,AQUATICS,10,0,0,0,0,clear,82.4,12,24.86
2025-08-25 04:03:26.285849,Smathers Libraries,Architecture and Fine Arts Library,Z-SL-04,124,LIBRARIES,10,0,0,0,0,clear,80.1,4,20.34
2025-08-25 04:33:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,11,0,0,0,0,clear,97.3,22,22.26
2025-08-25 04:48:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,11,0,0,0,0,clear,84.1,0,0.59
2025-08-25 05:03:26.285849,Southwest Rec Center,Multi-Purpose Court 3,Z-SWRC-07,30,GYMS,11,0,0,0,0,clear,90.6,0,1.46
2025-08-25 05:18:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,12,0,0,0,0,clear,84.1,17,17.99
2025-08-25 05:18:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,12,0,0,0,0,rain,84.8,0,6.47
2025-08-25 05:33:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,12,0,0,0,0,clear,86.7,0,6.35
2025-08-25 05:48:26.285849,Southwest Rec Center,SWRC Weight Room,Z-SWRC-02,200,GYMS,12,0,0,0,0,cloudy,93.3,38,19.19
2025-08-25 05:48:26.285849,Aquatics,O'Connell Center Pool,Z-AQ-02,40,AQUATICS,12,0,0,0,0,clear,86.6,20,51.4
2025-08-25 05:48:26.285849,Southwest Rec Center,Multi-Purpose Court 1,Z-SWRC-05,30,GYMS,12,0,0,0,0,clear,95.2,6,21.45
2025-08-25 06:33:26.285849,Southwest Rec Center,Multi-Purpose Court 4,Z-SWRC-08,30,GYMS,13,0,0,0,0,clear,90.5,5,19.56
2025-08-25 06:48:26.285849,Lake Wauberg,LW North,LW,100,OUTDOORS,13,0,0,0,0,clear,89.6,21,21.22
2025-08-25 06:48:26.285849,Smathers Libraries,Health Science Center Library,Z-SL-03,761,LIBRARIES,13,0,0,0,0,clear,93.9,76,10.06
2025-08-25 07:03:26.285849,Smathers Libraries,Smathers Library,Z-SL-06,231,LIBRARIES,13,0,0,0,0,clear,93.2,10,4.73
2025-08-25 07:18:26.285849,Aquatics,Florida Pool,Z-AQ-01,50,AQUATICS,14,0,0,0,0,cloudy,92.2,12,25.23
2025-08-25 07:33:26.285849,Aquatics,Florida Pool,Z-AQ-01,50,AQUATICS,14,0,0,0,0,clear,90.2,19,39.0
2025-08-25 07:48:26.285849,Smathers Libraries,Architecture and Fine Arts Library,Z-SL-04,124,LIBRARIES,14,0,0,0,0,clear,84.2,0,31.46
2025-08-25 08:18:26.285849,Aquatics,O'Connell Center Pool,Z-AQ-02,40,AQUATICS,15,0,0,0,0,clear,89.9,0,1.87
2025-08-25 08:18:26.285849,Student Recreation and Fitness Centre,SRFC Table Tennis,Z-SRFC-02,12,GYMS,15,0,0,0,0,clear,88.6,2,19.05
2025-08-25 08:33:26.285849,Smathers Libraries,Library West,Z-SL-01,1564,LIBRARIES,15,0,0,0,0,rain,86.3,779,49.81
2025-08-25 09:03:26.285849,Southwest Rec Center,Maguire Field,Z-SWRC-01,100,GYMS,15,0,0,0,0,rain,89.5,13,13.39
